,movie_title,article_link,text
0,Escape Room,http://www.nytimes.com/2019/01/03/movies/escape-room-review.html,"I tend to esteem motion pictures more for their aesthetic value than for their use value but sometimes there are exceptions. Through scrupulous and heightened simulations of terrifying reality, last year’s “First Man” reminded me why I never even entertained the notion of becoming an astronaut. Taking the opposite tack with an irrational but not altogether implausible conceit, “Escape Room” reminds me why I’ll never engage in the newfangled form of entertainment in which you allow yourself to be “trapped” in a room and puzzle-solve your way out of it. The conceit is that this movie’s game masters absolutely intend to kill the six invitees who at first find themselves in a waiting area that turns into a people-cooking oven. The players, mostly adult but still “Breakfast Club”-ish, include a female war veteran, an overachieving but friendless collegian, a dirtbag grocery stock boy and a too-pragmatic finance guy. The screenwriters Bragi F. Schut and Maria Melnik and the director Adam Robitel steer this not-all-that-intriguing crew through a series of challenges, in spaces that the production designer Edward Thomas clearly enjoyed putting together. (The upside-down bar is particularly gnarly, especially once the ceiling panels start dropping out.) The puzzles aren’t constructed in a way that gives the viewers any sort of whack at them; we merely watch as the characters solve or don’t solve them, then start dying for real. There are intimations of “Tales From the Crypt,” “Final Destination,” “The Game,” and other older, better films here; this movie never catches a fire like any of those did, and even its twist coda feels dreary and pro forma. But the movie is keeping me even further away from real-life escape rooms than I already had been."
1,Rust Creek,http://www.nytimes.com/2019/01/03/movies/rust-creek-review.html,"When horror movies head for the woods, their titles may vary — “I Spit on Your Grave,” “Wolf Creek” — but their central dynamic is too often the same: At some point, an attractively trembling woman will be forced to run like the dickens from a yokel who butchers his own meat. What sets “Rust Creek” apart from most of its genre predecessors, though, is that its director, screenwriter and cinematographer are all women. Sadly (or happily, depending on your viewpoint), this hasn’t made an appreciable difference to the broadly familiar beats of Julie Lipson’s screenplay, even if Jen McGowan’s direction is as attentive to stasis as action. Midway through the movie, when the lead character, a Kentucky college student named Sawyer (Hermione Corfield), finds herself trapped in a trailer with Lowell (Jay Paulson), a hinky meth cook, her slow transition from suspicion to trust is accomplished with near-subliminal sensitivity. The sequence, and the uneasy alliance it forges, is the most compelling feature of a plot that could easily have graced a couple of episodes of Graham Yost’s chewy 2010-2015 television series, “Justified” (also set in the Appalachian Mountains of eastern Kentucky). When Sawyer is stranded on a side road en route to a job interview in D.C., the arrival of two gun-toting yahoos is no surprise. More unanticipated is Sawyer’s response to their twitchy offer of a bed for the night: Neutralizing both the skeevy Hollister (Micah Hauptman) and burly Buck (Daniel R. Hill), she legs it into the woods. And that’s the first problem: Sawyer is so resourceful that we never fear for her. A gaping knife wound in her thigh fails to slow her roll until she’s out of immediate danger. Later, she devises an escape from bondage using lye and some barely credible contortions. Though slight of build, she’s a match for every lunk in her path, to the point where I fully expected her to show up at state Police Headquarters with her remaining adversaries trussed like turkeys. Well-acted and technically sound (Michelle Lawler’s photography is clean and clear), “Rust Creek” falters with superficial characterizations and a cliché sheriff (Sean O’Bryan) who’s as incompetent as he’s crooked. Corfield is fine in a role that gives her little opportunity to do more than run and fight, but a woman this empowered removes the question mark from her survival — and the tension from the movie."
4,The Upside,http://www.nytimes.com/2019/01/09/movies/the-upside-review.html,"What a difference a cast makes. If the director Neil Burger’s decision to have Bryan Cranston and Kevin Hart play the leads in the odd-couple comedy “The Upside” — a remake of the 2012 French film “The Intouchables” — doesn’t erase the original’s sins, it blurs them just enough. As a result, this impolitic (some might say offensive) tale of Phillip (Cranston), a wealthy, white quadriplegic, and Dell (Hart), the black parolee who restores his will to live, is surprisingly winning. Some squinting will be required to block out the race and class stereotyping, as well as the puddles of sentiment scattered throughout the highly predictable plot. Yet Jon Hartmere’s script has genuinely funny moments and is blessedly short on crassness: even a scene involving catheters and colon hygiene is less cringey than you might expect. A warm vibe between the two men goes a long way toward sweetening the sap and contrivances. When the vastly unqualified Dell stumbles into a job as Phillip’s caregiver, he’s rewarded with an eyebrow-raising salary and a depressed patient who needs entertaining more than cosseting. Mutual benefits multiply, as the two share joints, prank the police and bond over Mozart and Aretha Franklin. Later, when Dell’s hostile ex-girlfriend and son resist his amends, a new house and car prove remarkably persuasive. Inspired by a true story, “The Upside” isn’t shy about turning the travails of disability into punch lines — or Nicole Kidman, as Phillip’s devoted business manager, into a romantic cliché. But Hart (who needs a counterweight to his Oscar-hosting controversy) is less manic and more genuine than we’ve seen him, making Dell more than just a comic device. And Cranston never oversells his hobbled character. Now imagine if the filmmakers had summoned the creativity to swap their roles."
10,The Kid Who Would Be King,http://www.nytimes.com/2019/01/24/movies/the-kid-who-would-be-king-review.html,"In 2011, the British writer-comedian Joe Cornish delivered a promising feature directing debut with “Attack the Block,” a wild, irreverent science-fiction action-comedy about an alien invasion thwarted by a gang of tough teenagers. That film, which also gave us the screen acting debut of the future “Star Wars” favorite  John Boyega, was not a huge hit, but gained cult status over the years, prompting speculation about what its talented writer-director might do next. It’s taken eight years for Cornish to release another feature, and it may feel strange at first to see him at the helm of a modest children’s adventure about a modern-day King Arthur. But “The Kid Who Would be King” still has some of the wit and sweep that distinguished Cornish’s earlier work. The film’s setup is simple. The meek 12-year-old Alex (Louis Ashbourne Serkis), chased into an abandoned construction site by the school bullies, comes upon a sword stuck in a hunk of stone and pulls it out. A Latin inscription on the weapon suggests that it may well be Excalibur, the legendary sword of King Arthur, although Jack and his best pal, Bedders (Dean Chaumoo), initially decide that’s a ridiculous notion. Circumstances soon change. Flaming demons appear in the middle of the night and torment our bewildered hero. Out of the mists of Stonehenge emerges the rather odd-mannered young wizard Merlin (Angus Imrie), who enrolls himself at school under the name of Mertin. (“Greetings, fellow academicians,” he intones to the other kids. “I am a perfectly normal contemporary English schoolboy!”) He then tries to convince Alex and Bedders that the world needs their heroism at this very moment, for a variety of reasons. For starters, the country seems divided, and political and social discord rule the land — a bit of real-life relevance the film doesn’t pursue much further. More urgently (and cinematically), Arthur’s mortal enemy Morgana (Rebecca Ferguson) is emerging from a centuries-long slumber, intent on enslaving humanity. What ensues is a brisk, well-mounted children’s fantasy, with Cornish giving the story an entertainingly apocalyptic spin. Children covered in armor drive “Mad Max”-style cars to combat the forces of darkness, while their school turns into a hellscape of warfare and fire. The action is creatively staged, without ever getting too intense or scary for young viewers. And the script balances humor, pathos and wish fulfillment as it portrays Alex’s rise from mopey dreamer to confident warrior, without overdoing the mythic portent."
11,Serenity,http://www.nytimes.com/2019/01/24/movies/serenity-review.html,"I’m no actor, but I’d like to think if a script ever came my way with lines like, “Wouldn’t it be funny if nobody knows anything?,” and “Just how many years have I been here, Jack?,” and “How dare Old Joe feed my cat,” I’d know that the movie would probably open in the middle of January when the studios leave their garbage on the curb. But I’m just me, so it’s possible that Matthew McConaughey was sent the pages for “Serenity” and saw something more fit for April or May, when the movies don’t need quite as much cologne. It’s also possible that he read the script — with its tale of a chain-smoking, heavy-drinking, sweat-soaked fishing boat captain, his ex, her battering new husband and the elusive tropical tuna that haunts the captain’s every waking hour — and recalled the last time he was on the high seas then said aloud, “I miss ‘Fool’s Gold.’” More than half the reason I went to see this movie is because I miss “Fool’s Gold,” too. But that movie is 11 years old. And the days of low-stakes thingamabobs with some stars and even a little bit of writing are gone. Instead of a caper with Kate Hudson, McConaughey has got a mess written and directed by Steven Knight. The captain — his captain, Baker Dill — has unsexy sex with Diane Lane’s character. He tries to catch that fish alongside his dutiful first mate (Djimon Hounsou). He puts up with the nerdy, White Rabbity stranger (Jeremy Strong) chasing after him and managing the return of Karen, this ex of his and mother of his son. She’s played by Anne Hathaway, as a blonde, and her arrival at the local bar appears to be an event so momentous that the camera has to sprint-swoop around her to gawk. I laughed when it did. Baker Dill is a lousy character name. But that camera pivot is lousier. Karen asks Captain Dill to take her mean spouse (Jason Clarke) for a boat ride but doesn’t ask to bring him back. But maybe Dill would rather catch that fish than commit murder. So Karen keeps alternating between femme fatale and mysterious detective-novel damsel until he consents. For reasons known only to Knight, “Serenity” couldn’t just be a film noir. He’s laid some kind of science-fiction nonsense atop it because, apparently, the movie needed a ply of trashy pretension to echo Adrian Lyne’s thriller “Jacob’s Ladder” and complement the luxe incoherence of McConaughey’s Lincoln ads. There are cutaways to Baker and Karen’s son feverishly typing code while, offscreen, his stepdad can be heard slapping Karen around. (It’s possible that Baker can hear his son — telepathically!) The more we learn about that half of things the less sense the rest of the movie makes. That includes a big reveal that’s like the worst of Christopher Nolan, M. Night Shyamalan and the condolence-card section at Walgreens."
13,Miss Bala,http://www.nytimes.com/2019/01/31/movies/miss-bala-review.html,"In “Miss Bala,” Gina Rodriguez chops an onion, shoots an AR-15 and does various other things that might count as spoilers if I told you about them. Or not, if you’ve seen the trailer. Rodriguez, looking for action as “Jane the Virgin” winds down, finds it as Gloria Fuentes, a Los Angeles makeup artist ensnared in the cross-border drug trade. Gloria, who travels to Tijuana to help her childhood friend Suzu (Cristina Rodlo) prepare for a beauty contest, is basically in the wrong place at the wrong time, something that might be said for everyone involved with this movie, audience included. Which is too bad. Directed by Catherine Hardwicke (“Thirteen,” “Twilight,” “Red Riding Hood”) from a script by Gareth Dunnet-Alcocer, “Miss Bala” has pretty solid DNA. It’s more or less based on an earlier film of the same title directed by Gerardo Naranjo and starring Stephanie Sigman, which used action-thriller techniques and moods to explore the corrosive effects of narco trafficking on the lives of ordinary Mexicans. The inescapable power of the cartels gave that “Miss Bala” a feeling of claustrophobic terror and sometimes absurd fatalism. It was an intense, almost hallucinatory parable of utter vulnerability and desperate compromise. This version, in the dreariest Hollywood-remake tradition, turns a grim, morally ambiguous story into a fable of empowerment. That might be kind of fun if it didn’t feel so tired and timid. Rodriguez shows a little spark early and late, but mostly she is stricken, scared and shut down. Which is understandable given the character’s predicament, but the movie itself exists in a similar state. Any disturbing implications of Gloria’s situation — any ethical quandaries, psychological insights or genuinely shocking circumstances — are kept in check. What happens around her is horrible, but not so horrible as to stand in the way of her ultimate triumph. After a wild shootout in a Tijuana nightclub, Suzu disappears, and Gloria, who saw some of the gunmen when they sneaked in through a bathroom window, finds herself first in the custody of a kingpin named Lino (Ismael Cruz Córdova) and then face to face with a D.E.A. agent named Brian (Matt Lauria). This is a distinction without much of a difference. Neither one is very nice to her — though Lino tries for something like gallantry — and they may not even be on opposite sides of the law. But Gloria is stuck with Lino, who calls her “Chula” and occasionally touches her. He doesn’t go any further, apparently in the hopes of seducing his captive. Instead, the brutality of his gang and their rivals — directed against minor characters — is depicted with a mixture of sensationalism and squeamishness that feels sleazy and dishonest. Sex trafficking and wanton murder are part of their business, but “Miss Bala” keeps a safe, titillating distance from the worst of it. The fact that nearly all the characters are Mexican or Mexican-American hardly lessens the sense that we are watching a parade of caricatures and clichés. The denouement suggests we are also watching the first episode in a franchise, but even that, while ridiculous, hardly seems shocking."
14,Velvet Buzzsaw,http://www.nytimes.com/2019/01/30/movies/velvet-buzzsaw-review.html,"If you want to see a clever actor having a great time, watch Jake Gyllenhaal in the opening minutes of “Velvet Buzzsaw.” He plays Morf Vendewalt — just one of several eyebrow-raising character names — an intimidatingly influential and improbably affluent art critic, in his element as he half-strides, half-minces his way through an exhibition hall at Art Basel Miami Beach. He trades his designer shades for boldly framed eyeglasses, turns his gimlet eye on various sculptures and paintings and drops depth-charged bons mots. The writer-director Dan Gilroy makes the film’s contempt for the contemporary art world crystal clear from the outset, but puts Morf in an interesting position: As insufferable and pompous as he is, he has his own can’t-be-bought integrity. He also has ambition, and is quick to exercise it. When Josephina (Zawe Ashton), the humiliated protégée of a powerful gallery owner, discovers a cache of striking “outsider art” in the apartment of a dead neighbor, she enlists Morf, now her lover, to be the artist’s biographer. It’s here that “Velvet Buzzsaw” itself morphs. Initially a sour satire, it starts to play as if it were an expanded vignette from one of those ’70s British horror anthology films like “Asylum” and “Tales That Witness Madness.” Artwork turns murderous: As the grim back story of the neighbor comes to light (he killed a man! he painted with his own blood!), people pushing his work start meeting nasty deaths. Unfazed is the powerhouse dealer Rhodora Haze (Rene Russo) — see what I mean about those character names? — who imperiously stage-manages the buzz as bodies pile up. I found the horror stylings of the movie pleasantly old-school — oh no! a painting’s wild animals are moving, and they’re coming for you! — but I wonder whether they’ll satisfy contemporary “Saw”-crazy audiences. Gilroy’s pacing is adept, and the movie creates a what-will-happen-next tension, even as he continues to lather bile on his target. Gyllenhaal and Russo also starred in Gilroy’s 2014 directorial debut, “Nightcrawler,” an elaborate condemnation of broadcast journalism that played like an overheated cross between “Network” and “Taxi Driver.” Paparazzi and contemporary art are two topics apt to bring out sneers from Hollywood types who consider themselves too refined and clued in to be, well, Hollywood types. Nevertheless, a lecture on how the art world needs to disconnect itself from profit motive coming from a filmmaker who co-wrote “Kong: Skull Island” is pretty rich. Still, the confident storytelling and the bravura acting — Daveed Diggs, Toni Collette and John Malkovich contribute compelling caricatures — carry “Buzzsaw” all the way home. By the end of the picture Gyllenhaal has given us something we rarely see in movies: a credible portrait of a pretentious person’s nervous breakdown. Also, I’d be lying if I didn’t say that a couple of Gilroy’s jibes do stick their landings; one sequence in which a real corpse is mistaken for an art installation has a zing that Ruben Ostlund’s vinegary 2017 “The Square” never got within a mile of."
15,Piercing,http://www.nytimes.com/2019/01/31/movies/piercing-review.html,"A grisly comedic thriller written and directed by Nicolas Pesce (his 2016 horror film “The Eyes of My Mother” got some positive notes), “Piercing” has an audaciousness that largely lies in splitting the difference between viewer interest and viewer exasperation. A movie that begins with a father (Christopher Abbott) standing over his newborn’s crib holding an ice pick behind his back can’t be said to be pulling any introductory punches. Soon, Abbott’s character Reed hears the newborn instructing him to murder a prostitute. He travels from his stylized apartment building (outside views of it look like a diorama) to a stylized hotel. There he rehearses a horrific murder and dismemberment while the Brazilian musician Zé Luis’s “Soneto of Love” plays on the soundtrack. This brand of Tarantino-brewed, Williamsburg-aged hipster irony was tired around the time that “Things to Do in Denver When You’re Dead” came out (over 20 years ago), but Pesce does have some other tricks up his sleeve. Most of them borrow from the style of the lurid Italian films called giallos: Cult-picture aficionados will be tipped off by the bright yellow hotel-room phone. When an S&M-specializing call girl (Mia Wasikowska) shows up, things get bloody, although not in the way you’ve been led to expect. “Piercing” is adapted from a novel by the Japanese author Ryu Murakami, who also wrote “Audition,” which was made into a great thriller two decades ago. Pesce violently divorces Murakami’s work from its socioeconomic context in favor of a more generalized war-between-the-sexes dynamic. The movie gains momentum as it indulges in hallucinogenic phantasmagoria. Whatever you make of its intentions, it’s certainly exceptional in its visual distinction. “Piercing” also leads up to a wryly funny punch line that made this viewer a little more forgiving of its plentiful affectations."
16,The Lego Movie 2: The Second Part,http://www.nytimes.com/2019/02/06/movies/the-lego-movie-two-the-second-part-review.html,"The new animated Lego movie is pretty much like the last one. Or maybe I’m thinking of another one, not that it much matters. There are differences between editions, most fairly negligible. The unifying factor, to note the obvious about the state of big-screen children’s entertainment, is that they are all feature-length commercials. The “Transformers” series helped pave the way for Legos by flipping the old idea that movies (like “Star Wars”) were the creative source for the licensed merch, the lunchboxes and action figures. Now, toys, board games and so on are sometimes the originating point. This isn’t news; I know it, you know it. But it seems worth repeating again and ad infinitum, especially given that “The Lego Movie 2: The Second Part” isn’t as distractingly fun, shiny and bright as the more satisfying franchise installments. It drags and sometimes bores, which makes it easier for your mind to drift elsewhere, to thoughts of family, deadlines, chores, the creative impoverishment of the big studios and the casual, fundamentally corrupt commercial exploitation of the child audience. Put differently, what distinguishes this from the better Lego movies is that they’re good commercials. The new one was written by Phil Lord and Christopher Miller, the franchise’s brain trust, and directed by Mike Mitchell, whose credits include “Trolls,” another toy-based feature. “The Lego Movie 2” mostly takes place in Bricksburg, the happy town where once upon a time in the buoyant 2014 movie, Emmet (voiced by Chris Pratt), an upbeat dude in an orange vest, triumphed to become a heroic master builder. Five years later, life in Bricksburg has turned into a George Miller-esque dystopian hellscape. Emmet still looks on the sunny side, but everyone else, including his pal, Lucy (Elizabeth Banks), looks like Lilliputian refugees in their own decrepit and sand-swept “Mad Max.” That sounds more promising than what transpires in the movie, a busy, noisy clutter of action sequences, pop-cultural allusions, life lessons and cute critters. The clever if rather cynical, self-reflexive back story involves live-action scenes of a bickering big brother and little sister who, unbeknown to Bricksburg, are the true master builders. The children’s disharmony makes trouble in their play world, draining it of color and optimism; in other words, everything is not awesome, to borrow the franchise’s insanely catchy theme song. There’s a tidy message here: Be nice to your kid sister, which is supernice advice especially because the movie was produced, directed and written almost entirely by men. The exception is the animation director, Trisha Gum, who worked with Mitchell on the movie’s look and feel, which is by turns immersive and wittily distancing, as when the Bricksburg story is interrupted by a shot of a toy dangling from a string. One pleasure of the Lego movies is how they personalize generic plastic bricks, creating a sense of life by combining scratches and other signs of the human hand — as if a child had used and reused these toys — with distinct, caricatured voices. Will Arnett’s demented take on Batman remains the standout, and it’s disappointing that he isn’t given more to do. In line with the live-action siblings, the under-inspired Emmet and Lucy drive the Bricksburg part. Much of the story involves an eerily smiley alien land (shades of Camazotz in “A Wrinkle in Time”) where Batman is to marry the polymorphous queen (Tiffany Haddish). Every so often, the kids and their mom (Maya Rudolph) pop up in the live-action scenes, and their family dissonance creates chaos and intimations of doom in Bricksburg until it doesn’t. The moral is that we should play nice, but also buy truckloads of Legos. In this respect, this sales pitch fits in with something that Walt Disney, a marketing genius, once said about his company not catering “to the child but to the child in the adult.” He was talking about his films’ viewers, who also happened to be the folks destined to foot the toy bill."
17,What Men Want,http://www.nytimes.com/2019/02/07/movies/what-men-want-review.html,"“What Men Want” presumes a lot of things about its viewers. One is that they won’t tolerate a satire of workplace sexism if it doesn’t sometimes put the woman in her place. Another is a taste for Fiji water, an object of product placement so frequent that you worry for a drought in the South Pacific. Directed by Adam Shankman, this comedy flips the script on Nancy Meyers’s “What Women Want” (2000), in which a Chicago chauvinist (Mel Gibson) gets his comeuppance after gaining the power to hear women’s thoughts. This time, the mind reader is an Atlanta sports agent, Ali (Taraji P. Henson), who works at a boy’s club of a company and is repeatedly passed over for partner status. Her boss, Nick (Brian Bosworth), tells her, “You’re doing great in your lane.” But thanks to either a knock on the head or the laced tea given to her by a psychic (Erykah Badu), Ali begins to hear what men are thinking, the better to get sweet, sweet revenge. Part of the message, of course, is that it doesn’t take a mind reader to see that Ali’s colleagues — who court a star African-American basketball player (Shane Paul McGhie) with a racist video filled with bling and women — are complete boneheads, working in a frat house dressed up as an office. [Read our interview with Erykah Badu, who got her start in acting before turning to music.] While “What Men Want” starts off as a stinging critique, it undermines that message with one of Hollywood’s favorite idiotic subplots. Because the star player’s father (Tracy Morgan) doesn’t trust a woman without a family, Ali tries to pass off a one-night stand and his son (Aldis Hodge and Auston Moore) as her husband and child. Presumably Ali’s ability to hear their thoughts would make that charade easier. So would a simple conversation. But Ali is a bad communicator, and one lesson the movie deigns to teach her is to listen more carefully. If the original delivered payback to a sexist, the new film ought to let a victim of sexism turn the tables. “What Men Want” doesn’t stick to that conceit, however, despite such barbed moments as when Nick says aloud that he would fire Ali if he didn’t fear a #MeToo outcry. The film insists that Ali, like Gibson’s ad man, receive her comeuppance: She learns to respect her gay assistant (Josh Brener) and to be less selfish in her career and in bed. Memo to working women: Don’t be ball busters, or else. The gender politics of “What Men Want” only sometimes play as retrograde, though. The movie covers all its bases, determined to give every segment of the audience what it wants, with dubious success."
