,movie_title,article_link,text
0,Escape Room,http://www.nytimes.com/2019/01/03/movies/escape-room-review.html,testing
1,Rust Creek,http://www.nytimes.com/2019/01/03/movies/rust-creek-review.html,testing
2,American Hangman,-1,NA
3,A Dogs Way Home,-1,NA
4,The Upside,http://www.nytimes.com/2019/01/09/movies/the-upside-review.html,testing
5,Replicas,-1,NA
6,After Darkness,-1,NA
7,Glass,-1,NA
8,Close,-1,NA
9,The Final Wish,-1,NA
10,The Kid Who Would Be King,http://www.nytimes.com/2019/01/24/movies/the-kid-who-would-be-king-review.html,testing
11,Serenity,http://www.nytimes.com/2019/01/24/movies/serenity-review.html,testing
12,I Am Mother,-1,NA
13,Miss Bala,http://www.nytimes.com/2019/01/31/movies/miss-bala-review.html,testing
14,Velvet Buzzsaw,http://www.nytimes.com/2019/01/30/movies/velvet-buzzsaw-review.html,testing
15,Piercing,http://www.nytimes.com/2019/01/31/movies/piercing-review.html,testing
16,The Lego Movie 2: The Second Part,http://www.nytimes.com/2019/02/06/movies/the-lego-movie-two-the-second-part-review.html,testing
17,What Men Want,http://www.nytimes.com/2019/02/07/movies/what-men-want-review.html,testing
18,Cold Pursuit,http://www.nytimes.com/2019/02/05/movies/cold-pursuit-review.html,testing
19,High Flying Bird,http://www.nytimes.com/2019/02/07/movies/high-flying-bird-review.html,testing
20,The Prodigy,http://www.nytimes.com/2019/02/07/movies/the-prodigy-review.html,testing
21,Isnt It Romantic,-1,NA
22,Happy Death Day 2U,http://www.nytimes.com/2019/02/14/movies/happy-death-day-2u-review.html,testing
23,Alita: Battle Angel,http://www.nytimes.com/2019/02/12/movies/alita-battle-angel-review.html,testing
24,How to Train Your Dragon: The Hidden World,http://www.nytimes.com/2019/02/20/movies/how-to-train-your-dragon-hidden-world-review.html,testing
25,Fighting with My Family,http://www.nytimes.com/2019/02/13/movies/fighting-with-my-family-review.html,testing
26,Tyler Perrys A Madea Family Funeral,-1,NA
27,Greta,http://www.nytimes.com/2019/12/23/movies/little-women-review.html,testing
28,Triple Frontier,http://www.nytimes.com/2019/03/06/movies/triple-frontier-review.html,testing
29,Captain Marvel,http://www.nytimes.com/2019/03/05/movies/captain-marvel-review.html,testing
30,The Kid,http://www.nytimes.com/2019/03/07/movies/the-kid-review.html,testing
31,Wonder Park,http://www.nytimes.com/2019/03/14/movies/wonder-park-review.html,testing
32,Captive State,-1,NA
33,Nancy Drew and the Hidden Staircase,-1,NA
34,The Aftermath,http://www.nytimes.com/2019/03/14/movies/the-aftermath-review.html,testing
35,Five Feet Apart,http://www.nytimes.com/2019/03/14/movies/five-feet-apart-review.html,testing
36,The Highwaymen,http://www.nytimes.com/2019/03/14/movies/the-highwaymen-review.html,testing
37,Red 11,-1,NA
38,Never Grow Old,-1,NA
39,Triple Threat,-1,NA
40,Us,http://www.nytimes.com/2020/01/08/movies/earth-review.html,testing
41,Hotel Mumbai,http://www.nytimes.com/2019/03/21/movies/hotel-mumbai-review.html,testing
42,The Dirt,http://www.nytimes.com/2019/03/22/movies/the-dirt-review.html,testing
43,Dumbo,http://www.nytimes.com/2019/03/27/movies/dumbo-review.html,testing
44,The Beach Bum,http://www.nytimes.com/2019/03/27/movies/the-beach-bum-review.html,testing
45,Unplanned,-1,NA
46,Shazam!,http://www.nytimes.com/2019/04/03/movies/shazam-review.html,testing
47,Pet Sematary,http://www.nytimes.com/2019/04/04/movies/pet-sematary-review.html,testing
48,The Best of Enemies,-1,NA
